ID,Edad,Ingresos,Monto_Inicial,Scoring_Crediticio,Meses_Empleo,Num_Creditos,Ratio_Interes,Duracion,Ratio_Deuda_Ingresos,Estudios,Posesion_Hipoteca,Personas_Cargo,Fiador,Impago,Prima,Tipo_Jornada_Laboral_Autónomo,Tipo_Jornada_Laboral_Desempleado,Tipo_Jornada_Laboral_Jornada completa,Tipo_Jornada_Laboral_Tiempo parcial,Estado_Civil_Casado,Estado_Civil_Divorciado,Estado_Civil_Soltero,Cluster_KMeans,probabilidad_impago
9MR2A0,55,38660,14641,670,391,3,24.93,60,0.1,0,1,1,0,0,183.21,0,0,0,1,1,0,0,0,0.5274805079463561
2FTF1Z,66,70524,32015,468,458,3,7.41,36,0.14,1,1,1,1,0,376.53,0,0,0,1,1,0,0,1,0.1744235865423135
Q5YYSY,37,35637,21317,731,139,4,4.11,48,0.14,0,0,0,1,0,108.66,0,0,1,0,1,0,0,0,0.3228658823365893
UVYWLO,46,42784,43149,690,202,1,22.7,60,0.21,1,1,1,1,0,540.81,1,0,0,0,0,1,0,1,0.46334886253846846
77LN9O,46,41265,38071,784,264,1,13.2,60,0.17,0,0,0,0,0,173.47,0,0,1,0,0,0,1,0,0.3870396839968525
4LUA1C,20,26528,5000,625,0,2,9.89,24,0.1,1,0,1,0,1,33.12,1,0,0,0,0,0,1,0,0.6177368695814432
WCDNJW,45,51248,20246,826,251,1,9.92,24,0.21,1,1,0,0,0,85.61,0,0,1,0,0,1,0,1,0.3141493105957976
3BOJ78,46,26314,6981,413,236,4,12.66,60,0.1,0,1,1,0,0,151.28,1,0,0,0,0,0,1,0,0.4657656354638071
43210O,68,56277,13538,519,461,4,8.72,24,0.11,1,1,1,1,0,192.94,0,0,0,1,1,0,0,0,0.18011325914510398
FIYZUG,21,16000,5000,596,19,2,21.23,36,0.1,0,1,0,0,1,60.8,0,0,0,1,0,0,1,0,0.7829920136617343
26II3I,58,66540,27180,439,343,3,18.79,36,0.14,2,0,0,0,0,424.41,0,0,1,0,1,0,0,0,0.4501716660268445
4BMIJP,63,96105,44111,688,337,4,8.44,36,0.15,3,0,0,1,0,327.81,0,0,0,1,1,0,0,1,0.23266504315046987
9XB3GG,65,61344,46480,716,353,1,24.6,24,0.35,2,1,0,0,0,400.16,1,0,0,0,1,0,0,1,0.4203920376620962
ZNGZF6,23,27442,5000,424,8,2,24.23,12,0.21,1,1,0,0,0,71.22,0,0,1,0,0,0,1,0,0.7845162033340178
YXSH2Y,60,28608,11299,320,412,4,14.69,36,0.12,0,0,1,1,0,170.7,1,0,0,0,1,0,0,0,0.3463300093455873
40DNZV,36,55232,23768,431,155,2,12.87,24,0.19,1,0,0,0,0,237.05,1,0,0,0,0,1,0,0,0.5869815738608186
H7EHS3,18,21019,5777,515,0,2,15.69,60,0.1,1,1,1,0,0,104.81,0,1,0,0,0,0,1,0,0.7473458284528254
EWSB37,61,84656,54949,809,378,2,21.53,36,0.22,2,0,1,0,0,397.85,1,0,0,0,1,0,0,1,0.39540944729522004
JSBZGQ,54,36522,8296,717,295,1,16.12,48,0.1,0,0,0,0,0,50.63,0,0,0,1,0,1,0,0,0.4190220291599951
PPR15J,43,42746,11503,372,182,1,16.33,48,0.1,1,1,0,1,0,163.83,0,0,1,0,1,0,0,0,0.43958962346741726
XTE1GS,25,38804,28231,742,34,3,10.29,48,0.16,1,1,1,1,0,196.45,0,1,0,0,1,0,0,0,0.5324888945285442
9NG0A1,51,68802,32503,430,321,4,11.57,48,0.12,2,1,0,1,0,506.09,1,0,0,0,1,0,0,0,0.3761848387907829
N1YT60,26,29006,14604,553,47,3,8.74,12,0.44,1,1,0,1,0,161.4,1,0,0,0,0,0,1,1,0.5228843429358122
FBBVSD,38,26771,23265,744,202,2,5.17,36,0.26,0,1,1,0,0,128.55,0,0,1,0,0,0,1,0,0.29907756835350524
FMT8Q5,60,37130,8918,303,390,2,24.97,24,0.11,0,0,0,0,1,100.46,0,1,0,0,1,0,0,0,0.6238485636429197
UY8S94,37,48946,16126,336,119,4,17.06,48,0.1,2,0,0,0,1,302.05,0,0,0,1,1,0,0,0,0.6948147276286115
0FHV88,28,33915,18347,794,58,4,20.31,24,0.25,1,1,0,0,0,143.81,0,0,0,1,1,0,0,1,0.7229528894970434
67VE9C,30,41775,7080,324,41,1,14.54,12,0.18,2,1,1,1,0,69.51,0,0,0,1,0,0,1,0,0.550876781244682
MPMDHD,33,53649,45810,763,92,2,18.29,12,0.55,2,0,1,0,0,360.79,0,1,0,0,1,0,0,1,0.6497230284613579
6GGMMA,54,72194,40563,754,218,2,4.62,48,0.13,3,0,1,1,0,166.02,0,1,0,0,0,1,0,1,0.21436492939085147
MTH02W,53,43925,18462,417,265,3,10.29,60,0.1,1,0,1,0,0,266.91,0,1,0,0,0,1,0,0,0.41377478059335254
LG7D1P,31,29340,7375,767,92,4,17.31,36,0.1,1,0,0,0,1,49.74,0,0,1,0,1,0,0,0,0.6368604800145566
YM0A9Z,47,42864,10242,534,253,4,16.58,24,0.12,0,1,1,1,0,185.65,0,0,0,1,0,1,0,0,0.4370932099225735
LP2OAI,37,28989,19804,677,191,3,3.7,36,0.26,0,1,0,0,0,132.38,1,0,0,0,0,0,1,0,0.38856698449885285
PJ6CIO,52,46871,23869,574,276,2,14.87,60,0.11,0,1,1,0,0,328.72,1,0,0,0,1,0,0,0,0.38831892354908876
GEDOIF,31,46368,19294,583,33,1,7.32,36,0.16,3,1,1,0,0,148.84,1,0,0,0,0,0,1,0,0.4429844394139131
D72TXN,35,47158,41975,645,117,2,24.47,48,0.23,1,1,0,0,0,544.86,0,0,1,0,0,0,1,1,0.6729528438668253
49IRYT,64,52827,10676,531,400,2,5.07,36,0.1,0,1,1,0,0,96.32,0,0,1,0,1,0,0,0,0.15606439278666548
ZFAJCH,18,18755,5000,313,0,4,11.01,48,0.1,0,0,1,0,0,68.95,0,0,1,0,1,0,0,0,0.6859271591944474
5OKXY4,37,38431,39256,795,158,4,3.81,36,0.38,1,0,0,1,0,221.52,0,0,0,1,1,0,0,1,0.3566860470403705
YJ6E7Z,68,51301,28259,725,405,1,10.2,60,0.12,1,1,0,0,0,166.04,0,0,0,1,0,1,0,0,0.20920498672680637
CCNE3C,62,32306,6735,586,321,3,2.84,48,0.1,0,0,1,0,0,59.7,0,0,0,1,1,0,0,0,0.1964508368172963
FYRUM3,65,54435,19572,477,462,4,19.16,24,0.18,1,1,0,1,0,351.52,1,0,0,0,1,0,0,0,0.3591960286295265
L2OVH4,43,29326,26928,680,250,4,6.93,60,0.18,0,0,0,1,0,182.2,0,0,1,0,1,0,0,0,0.32118395657728466
15EK3F,31,43919,8378,441,53,1,7.43,48,0.1,2,0,0,0,0,65.44,0,0,0,1,0,0,1,0,0.5421390863399916
FHJLDX,55,32283,23147,735,387,4,19.51,36,0.26,0,1,0,1,0,252.85,0,0,0,1,1,0,0,1,0.4208485115201579
DF98KN,26,52839,36613,789,0,1,6.0,12,0.55,3,0,0,0,0,153.57,0,0,1,0,1,0,0,1,0.4530310866678198
AWI26U,67,60577,21834,545,470,3,11.94,60,0.1,1,0,0,0,0,290.51,0,0,0,1,1,0,0,0,0.30541534727081104
0648P3,59,58569,15573,719,288,4,2.57,36,0.1,1,0,0,1,0,81.41,0,0,0,1,1,0,0,0,0.1918449065361712
60KSWX,65,39635,30612,799,428,2,22.5,12,0.55,0,0,0,1,0,204.68,0,0,1,0,1,0,0,1,0.31158376406562177
X0JEU3,63,56731,48588,584,349,1,13.17,36,0.29,1,0,0,1,0,471.62,0,1,0,0,1,0,0,1,0.2955042770977972
SF4RRD,23,26548,5000,319,19,3,10.63,24,0.1,1,1,1,1,0,63.75,0,0,1,0,0,0,1,0,0.5336379922517639
2ABY2P,51,34102,12457,338,267,3,16.8,48,0.1,0,1,1,1,0,232.29,0,0,0,1,1,0,0,0,0.42387736650017577
822HJF,44,40290,15929,315,286,4,7.56,60,0.1,0,1,0,1,0,209.73,0,0,1,0,1,0,0,0,0.3528603123271008
H9WN80,29,42028,19602,601,68,1,15.53,60,0.11,1,0,1,0,0,177.22,0,0,1,0,1,0,0,0,0.569475150841935
TTSU4M,41,67425,65287,798,123,4,23.34,36,0.29,3,1,0,0,0,642.96,0,0,0,1,0,1,0,1,0.6582562421531695
1A15H7,26,40284,18223,822,31,2,18.07,48,0.13,2,1,1,1,0,140.21,1,0,0,0,0,0,1,0,0.5725563320940248
RKDIK2,60,52590,22725,517,301,3,24.1,36,0.16,1,1,0,0,0,388.54,1,0,0,0,0,1,0,0,0.52106370140302
WQ2GV3,56,28216,15226,581,379,2,13.53,60,0.1,0,0,1,0,0,174.94,0,0,0,1,1,0,0,0,0.3632761385141198
NIX5MF,42,64758,80000,688,184,1,24.65,60,0.26,2,1,0,1,0,800.0,0,1,0,0,1,0,0,1,0.6186232482106533
W0NUBI,67,32955,10680,367,456,4,17.21,36,0.1,0,0,0,0,0,162.76,0,1,0,0,1,0,0,0,0.4598847413456975
77TD10,42,57292,21109,671,144,2,19.8,24,0.18,2,1,1,0,0,191.84,1,0,0,0,1,0,0,1,0.5401380098860313
QQ4DQ0,56,68004,44267,812,296,4,20.09,36,0.18,3,1,0,0,0,373.11,0,0,0,1,1,0,0,1,0.4730163261557341
46EUHV,49,31014,20655,629,252,3,17.33,48,0.16,0,0,1,1,0,246.07,0,0,0,1,0,1,0,0,0.42526077956416414
SAMXT4,48,42976,26411,830,219,2,3.68,60,0.13,1,0,0,0,0,106.98,0,0,1,0,1,0,0,0,0.24828819033388064
4WZPQF,65,61650,34065,840,362,2,5.61,24,0.28,1,1,1,0,0,149.67,0,0,1,0,1,0,0,1,0.13046731285634705
T9A89K,57,44528,16676,794,321,4,8.94,60,0.1,1,1,1,1,0,130.28,1,0,0,0,0,1,0,0,0.21270628907423283
R891D0,30,26040,7557,417,109,4,8.96,36,0.1,0,0,0,0,0,83.83,0,0,1,0,0,0,1,0,0.5732708725220433
6X2WNI,21,19624,11465,775,22,2,14.68,60,0.13,0,0,1,0,0,64.21,0,0,1,0,1,0,0,0,0.6163901914876441
KJWXUL,23,25477,6323,708,9,2,11.73,24,0.11,1,1,1,1,0,35.24,0,0,1,0,1,0,0,0,0.47141186659421225
C8AII7,21,23066,6950,675,0,3,14.95,36,0.11,1,0,1,0,0,59.77,0,1,0,0,0,0,1,0,0.727192417632097
7CLZSX,63,88090,22707,558,375,2,18.2,24,0.13,2,0,1,0,0,254.59,0,0,0,1,0,1,0,1,0.37052624995013334
WQ7H7I,31,27636,9701,739,71,4,21.75,12,0.32,1,0,0,1,0,80.14,0,1,0,0,1,0,0,1,0.7229666688241138
7WNLMW,58,34433,10137,828,446,4,19.94,24,0.15,0,1,0,1,0,67.67,1,0,0,0,1,0,0,0,0.3779934756896327
A837UM,35,60929,41087,515,111,3,12.32,60,0.13,2,0,0,0,1,644.67,0,1,0,0,1,0,0,0,0.6372318109020602
05QJ10,20,22999,5000,443,27,1,21.25,36,0.1,0,1,0,0,1,63.32,0,0,1,0,0,0,1,0,0.7579928166605845
BQRJ5L,47,29077,18428,426,217,4,9.35,36,0.19,0,0,1,1,0,225.33,1,0,0,0,1,0,0,0,0.3633184439007814
KXC1EX,19,18987,5000,361,0,4,12.6,36,0.1,0,1,1,0,0,89.26,0,0,1,0,0,0,1,0,0.6706621024397381
5DE7K9,39,51107,15540,317,186,1,14.59,12,0.32,1,1,1,1,0,202.17,1,0,0,0,1,0,0,1,0.46082720705130714
AJ48ON,42,29134,25465,571,183,2,3.28,60,0.15,0,1,1,1,0,233.36,1,0,0,0,0,1,0,0,0.2508772307721522
V6GWA0,19,27168,5000,700,0,3,14.06,24,0.1,1,1,0,0,0,34.24,0,0,0,1,0,0,1,0,0.7096883152742574
ROZKI8,24,19706,5000,339,70,3,12.11,48,0.1,0,0,1,0,0,70.33,1,0,0,0,0,0,1,0,0.6747093176369326
QZRD6D,57,35820,10663,340,435,3,18.08,36,0.1,0,1,0,0,0,169.84,1,0,0,0,0,1,0,0,0.48194077259024437
KTE8SR,28,22881,7227,406,55,4,13.9,60,0.1,1,1,1,0,0,151.93,0,0,1,0,0,0,1,0,0.6068706916726923
8FAG05,58,28085,15133,493,413,2,14.1,36,0.2,0,0,0,1,0,192.4,0,0,1,0,1,0,0,0,0.2970547902133073
6BN9KE,53,54386,7187,331,228,2,10.76,60,0.1,1,0,1,1,0,88.79,1,0,0,0,0,0,1,0,0.3193921739671318
KABJH7,34,32594,10113,422,112,2,19.75,36,0.1,1,1,0,1,0,144.62,1,0,0,0,0,0,1,0,0.6280542967331866
9H228K,61,71269,36425,718,356,1,14.33,24,0.23,1,0,1,0,0,213.81,0,0,1,0,1,0,0,1,0.25439522661433434
43PGXV,62,63433,26907,690,401,2,17.44,60,0.1,1,1,1,0,0,322.15,0,1,0,0,0,1,0,0,0.36098620195466796
98C575,62,41532,17454,663,443,4,18.78,36,0.15,0,0,1,1,0,174.75,1,0,0,0,0,0,1,0,0.3377448111679897
R751W8,59,57105,23527,376,345,1,18.5,12,0.41,1,0,0,1,0,322.78,0,0,1,0,0,1,0,1,0.3488265888723121
Q36ZYD,21,17410,5864,739,46,1,12.09,36,0.1,0,1,0,0,0,31.16,0,1,0,0,1,0,0,0,0.6658357123407559
SMRWZF,50,78479,34021,486,190,2,18.55,24,0.24,3,1,0,1,0,571.72,0,1,0,0,1,0,0,1,0.49635292590592067
J71FID,35,40075,11826,310,109,2,4.65,48,0.1,1,0,0,0,0,95.86,0,1,0,0,0,0,1,0,0.5351571958386624
CRXVG8,25,18989,9413,766,19,3,4.24,36,0.16,1,1,0,0,0,37.5,0,0,1,0,0,0,1,0,0.44687815187529667
DWANYP,31,27001,19018,840,72,4,14.58,12,0.55,1,0,0,1,0,144.71,0,1,0,0,0,0,1,1,0.6071209489639874
0LCX3P,37,54712,52536,815,99,3,8.71,60,0.2,1,1,1,0,0,412.39,0,0,0,1,1,0,0,1,0.4131713488989866
69SZ5Q,28,27980,6816,573,122,1,23.15,24,0.13,0,1,0,0,0,62.19,1,0,0,0,1,0,0,0,0.7428024590361402
J9F6ZQ,53,31610,9790,746,318,4,2.86,60,0.1,0,0,1,0,0,65.54,0,0,1,0,1,0,0,0,0.2099407433869923
PJQDLL,20,16000,5000,432,35,2,19.4,48,0.1,0,0,1,1,1,74.62,0,1,0,0,0,0,1,0,0.7571342980401279
UL2MRB,50,24026,7271,536,254,1,17.58,24,0.16,0,1,0,1,0,80.76,0,1,0,0,0,1,0,0,0.4538964257806804
IVLP60,68,40952,8006,535,537,3,3.94,24,0.1,1,0,1,1,0,73.99,0,0,1,0,0,0,1,0,0.1180207812454419
YLGB61,24,21871,7417,416,67,2,24.4,48,0.1,0,0,1,1,1,106.9,1,0,0,0,0,0,1,0,0.7571869567054624
QE9NJ0,37,52936,14622,491,147,2,2.75,60,0.1,2,0,1,0,0,160.43,1,0,0,0,0,1,0,0,0.37127533187060924
A6H4JS,55,36374,10221,436,376,4,16.19,60,0.1,0,0,1,1,0,223.45,0,0,0,1,1,0,0,0,0.4032799829365713
WVKMJR,29,30540,23896,545,69,2,4.09,24,0.39,1,0,0,0,0,224.99,0,1,0,0,1,0,0,1,0.542037942722456
FE4MYP,24,41381,8169,493,11,2,8.78,36,0.1,2,1,0,1,0,90.65,0,1,0,0,0,0,1,0,0.5817689919087041
F2QRYI,33,18704,15952,732,141,3,18.82,48,0.18,0,0,0,1,0,119.14,0,1,0,0,0,0,1,0,0.6561841537592055
GUS7B0,22,22937,6606,592,33,1,24.47,24,0.15,0,0,0,1,1,53.2,0,0,0,1,0,0,1,0,0.7732291534941725
G87DT7,59,51089,45166,708,310,3,21.76,24,0.41,1,0,0,0,1,466.81,0,0,1,0,1,0,0,1,0.44333632142114454
QAMQXK,44,36929,9442,426,204,4,13.25,36,0.1,1,1,1,0,1,170.53,0,0,1,0,1,0,0,0,0.44474734108840763
L1E8BY,49,66835,36422,430,282,1,2.53,48,0.15,1,1,0,0,0,331.32,0,1,0,0,0,1,0,0,0.3159963479139484
3W9UCI,58,55718,20156,429,359,4,21.6,60,0.1,1,0,0,1,0,412.46,0,1,0,0,1,0,0,0,0.5392818607919746
I6UZI7,23,27933,7791,757,0,3,11.18,48,0.1,1,1,0,1,0,40.87,0,0,1,0,0,0,1,0,0.5127094361972624
T3TNNY,34,49481,30536,561,83,3,8.06,48,0.16,3,0,1,1,0,332.16,0,0,1,0,0,0,1,0,0.379248666109403
E5B0JF,47,45293,36281,551,196,3,14.17,48,0.2,2,0,0,1,1,506.03,0,0,1,0,1,0,0,0,0.39706082102393014
67KWPL,21,18304,5000,462,26,3,12.25,12,0.27,0,0,1,0,0,61.26,0,0,1,0,0,0,1,0,0.6407844390762579
FDKQEP,50,29707,17918,803,314,4,13.68,24,0.31,0,0,1,1,0,133.9,0,0,1,0,0,0,1,1,0.3035150170335906
GU7PJ2,55,52606,22466,786,325,3,9.52,12,0.46,1,0,0,0,1,114.02,0,0,0,1,1,0,0,1,0.33226368338424483
C6IZJB,58,26859,6084,596,318,2,7.83,24,0.12,0,0,0,0,0,32.37,0,1,0,0,1,0,0,0,0.33049795135908105
YCSZ96,33,39014,34076,814,92,3,16.73,24,0.46,2,0,1,1,0,319.9,1,0,0,0,0,0,1,1,0.5273707325581235
XGEDX6,18,16000,5000,375,9,3,10.83,24,0.15,0,1,1,1,0,59.47,0,0,0,1,0,0,1,0,0.625495448506114
P93QWW,28,38286,16077,708,0,2,8.6,36,0.13,3,0,0,1,1,77.79,1,0,0,0,1,0,0,0,0.4871209881360408
EKOAIE,50,35968,19944,726,345,4,12.19,12,0.49,0,1,0,0,0,179.7,0,0,1,0,1,0,0,1,0.36513571284908775
GQVP2F,47,54144,14217,360,266,3,5.83,60,0.1,1,0,1,1,0,173.29,0,0,0,1,1,0,0,0,0.3165072411347006
N3VZYW,41,63160,36680,656,166,2,4.48,36,0.2,2,1,1,0,0,260.51,0,1,0,0,0,1,0,1,0.35441205701751266
XGV8V6,35,27128,15949,766,145,2,23.59,24,0.31,0,1,0,0,1,108.48,0,0,0,1,1,0,0,1,0.6892905744008585
Q7ZEE3,34,36850,28359,689,97,3,19.79,60,0.17,2,1,0,1,0,345.49,0,0,1,0,0,0,1,0,0.5591186699192195
K3J9WM,48,35968,29756,507,346,1,7.43,60,0.19,0,0,1,1,0,272.88,0,1,0,0,0,1,0,0,0.3111627515265497
7FMEF9,69,45065,31738,776,493,4,8.9,60,0.13,0,0,1,0,0,207.2,0,1,0,0,1,0,0,0,0.23291211710050447
1H5YN7,23,20656,5000,705,47,4,16.01,24,0.13,0,0,0,0,1,35.82,0,1,0,0,0,0,1,0,0.7647579428835918
18MAV4,40,37427,30337,737,165,1,24.48,36,0.3,1,1,1,0,0,291.22,0,0,1,0,1,0,0,1,0.5610620345242356
99F3LZ,61,50679,25012,401,420,3,15.01,48,0.13,1,0,1,0,0,392.15,1,0,0,0,1,0,0,0,0.37630352117686433
2DI9CW,47,53986,25393,462,256,2,15.79,24,0.25,1,1,0,1,0,337.02,1,0,0,0,0,1,0,1,0.43636743664299343
QFCYLS,42,36771,21977,406,211,4,5.36,24,0.26,1,1,1,1,0,293.04,0,0,1,0,1,0,0,0,0.28853804796950455
5F8KAN,68,34597,15555,706,444,1,17.51,36,0.15,0,0,1,0,0,96.7,0,0,0,1,0,1,0,0,0.2853205120186693
LO7JL1,28,17515,8517,644,98,1,14.0,48,0.13,0,0,1,0,0,65.54,1,0,0,0,0,0,1,0,0.5919676632371874
YYWCPC,19,19772,5000,379,8,3,24.51,36,0.1,0,0,1,1,1,76.18,0,0,0,1,1,0,0,0,0.8098901067753501
JP9CIV,61,30352,9876,469,402,3,2.09,36,0.1,0,0,1,1,0,92.37,0,0,1,0,1,0,0,0,0.1391069911586501
SF5NON,37,25569,10300,721,157,2,18.39,60,0.1,0,1,1,0,0,97.52,0,0,0,1,0,0,1,0,0.5659843509880165
Z3NQ3D,30,32046,11654,603,156,3,7.08,60,0.1,0,0,1,0,0,92.57,1,0,0,0,1,0,0,0,0.5035551221611444
GFIXSP,32,23299,10829,798,147,3,5.57,12,0.42,0,1,0,0,0,50.23,0,0,0,1,1,0,0,1,0.4499549907936398
E8X05Z,63,55097,23100,610,334,4,5.16,24,0.19,1,1,1,1,0,198.6,1,0,0,0,1,0,0,1,0.16116304058580877
Z6M97Z,40,39096,47971,817,235,2,18.43,60,0.27,0,1,0,1,0,400.0,1,0,0,0,0,0,1,1,0.4902093029696714
LBIVX0,36,40439,21852,816,112,3,11.18,36,0.17,1,0,1,0,0,105.12,0,0,0,1,1,0,0,0,0.48500244389285224
T9X711,21,17266,5000,309,25,4,13.37,12,0.32,0,0,0,0,0,72.81,0,0,0,1,0,0,1,0,0.7674188590219736
9ZJB5P,40,33767,21146,759,161,4,21.08,36,0.18,1,1,1,1,0,180.63,0,0,1,0,1,0,0,0,0.4867594351892407
Y4ST4F,58,31966,12525,658,414,1,19.72,12,0.45,0,1,1,1,0,119.07,0,0,1,0,1,0,0,1,0.27995256250192946
067MQI,47,59353,50003,580,168,1,10.9,36,0.29,2,0,0,1,0,419.97,0,0,0,1,1,0,0,1,0.36291146444163486
DB4JIE,42,62809,22402,496,147,2,22.43,60,0.1,3,1,0,1,0,432.12,0,0,0,1,1,0,0,0,0.595196897041386
K8WIQE,56,37832,7833,464,325,3,12.67,60,0.1,0,0,1,1,0,125.87,0,1,0,0,0,0,1,0,0.3569391051562046
QS3IZ2,56,41808,18217,464,290,2,6.69,48,0.1,1,0,0,0,0,156.75,0,0,0,1,1,0,0,0,0.3184746222587071
2UWBQX,60,55365,19890,578,344,1,23.4,48,0.1,1,0,1,0,0,237.36,0,0,1,0,1,0,0,0,0.4107426695887703
6JTDIG,65,31771,17275,734,500,4,22.73,36,0.16,0,0,0,1,0,134.15,0,1,0,0,0,1,0,0,0.4381854853023705
OFY51K,38,69550,55109,821,80,1,11.49,24,0.41,3,0,1,0,0,302.54,0,0,0,1,1,0,0,1,0.43758226344811124
